horizon,rmse_lstm_mean,mae_lstm_mean,rmse_naive_mean,mae_naive_mean,acc_lstm_mean,f1_lstm_mean,acc_naive_mean,f1_naive_mean,num_folds
1d,0.029896885851019947,0.02323785992260811,0.023077964244369545,0.016860858403408847,0.5,0.4304389943800601,0.49074074074074076,0.0,9
3d,0.051437212642466444,0.04100571699716486,0.03901036005640512,0.03035222057183523,0.4962962962962963,0.4234273248340613,0.4574074074074074,0.0,9
7d,0.06999795123563984,0.056471881151970056,0.0565552268188836,0.044590419155691396,0.49074074074074076,0.4176150294817384,0.4537037037037038,0.0,9
