horizon,rmse_dcn_mean,mae_dcn_mean,acc_dcn_mean,f1_dcn_mean,num_folds
1d,0.02727409825484058,0.020541512221097947,0.49060606060606055,0.4473568560265764,10
3d,0.047453737142927103,0.037530030496418475,0.5156060606060605,0.5006453382524326,10
7d,0.07001003177731527,0.054964533634483816,0.5051515151515151,0.47074262399655986,10
