configuration,rmse_mean,rmse_std,mae_mean,mae_std,f1_mean,f1_std,num_seeds
1_lstm,0.02715978895441003,0.0007878906290665295,0.020701524882353634,0.0007988139478764104,0.41617898289798333,0.017706202623441743,3
3_dcn,0.0481765215007057,0.0006098513140442107,0.03816640817870693,0.0005471374674727412,0.4417231724647816,0.04397478623728903,3
7_lstm,0.06925191331722767,0.0005830904341238664,0.05601120855945433,0.0005551369085017545,0.4687471764730719,0.025114639303437415,3
