provider,weight,rmse_confirm,confirmed
claude,0.3206722173325351,0.04612071949296875,True
gemini,0.3508139505151789,0.04527289763916609,True
openai,0.32851383215228597,0.04683865407150514,True
__ensemble__,,0.04606367736295013,True
