horizon,rmse_lstm_mean,mae_lstm_mean,rmse_naive_mean,mae_naive_mean,acc_lstm_mean,f1_lstm_mean,acc_naive_mean,f1_naive_mean,num_folds,seed
1d,0.02639394212146343,0.01996989282403607,0.023077964244369545,0.016860858403408847,0.5148148148148148,0.4615236737874145,0.49074074074074076,0.0,9,42
3d,0.04772428945766488,0.03754086757487402,0.03901036005640512,0.03035222057183523,0.487037037037037,0.4836613554140325,0.4574074074074074,0.0,9,42
7d,0.07313435852349454,0.059081716203969244,0.0565552268188836,0.044590419155691396,0.5259259259259259,0.4717149605305826,0.4537037037037038,0.0,9,42
