provider,weight,rmse_confirm,confirmed
claude,0.33391661500088843,0.0228181938808446,False
gemini,0.329023931907358,0.023000592325286423,False
openai,0.33705945309175356,0.025454346447300432,False
__ensemble__,,0.023797306684289258,False
