model,horizon,folds,mean_delta_rmse,sd_delta_rmse,folds_model_better_rmse,mean_delta_mae,sd_delta_mae,folds_model_better_mae
predictions_final_best,1,9,0.006326786757605402,0.004100617152555784,0,0.00505883219695969,0.0040362105105333675,0
predictions_final_best,3,9,0.013403664818295614,0.007566824513927489,0,0.011486273770674436,0.007028886568243935,0
predictions_final_best,7,9,0.015536502713230161,0.011325007651518827,1,0.01312637046114452,0.009169048679507536,1
