provider,weight,rmse_confirm,confirmed
claude,0.3369622835394531,0.06802122744347656,False
gemini,0.32979802646317746,0.06869246225490677,False
openai,0.33323968999736936,0.07351350604984298,False
__ensemble__,,0.07011558474281347,False
