provider,horizon,fold,rmse_lstm,mae_lstm,rmse_naive,mae_naive,acc_lstm,f1_lstm,acc_naive,f1_naive
openai,1d,1,0.03599399114142229,0.026876649037090198,0.030248710614972075,0.02204591599737176,0.5,0.5454545454545454,0.48333333333333334,0.0
openai,1d,2,0.037178036188930924,0.026369454368766542,0.027442079901143508,0.01907056521362552,0.5666666666666667,0.4090909090909091,0.45,0.0
openai,1d,3,0.031377819225763846,0.02567287945781762,0.023731974328507113,0.018010539938849632,0.55,0.49056603773584906,0.4666666666666667,0.0
openai,1d,4,0.03294436218311883,0.024330611370046693,0.0291492238087015,0.02096095236011868,0.45,0.4406779661016949,0.5833333333333334,0.0
openai,1d,5,0.033199955923628566,0.025385339375574655,0.024190348486159426,0.01619110889006144,0.5,0.4230769230769231,0.45,0.0
openai,1d,6,0.026168532554406834,0.021172327013174366,0.01655562621345276,0.012328461132757632,0.43333333333333335,0.2916666666666667,0.43333333333333335,0.0
openai,1d,7,0.016021059173978343,0.012358865883950984,0.014985876609964132,0.011370874831544763,0.6166666666666667,0.5306122448979592,0.55,0.0
openai,1d,8,0.024445749723060496,0.01925960398552432,0.021961504390777053,0.01748800740596934,0.45,0.5074626865671642,0.5,0.0
openai,1d,9,0.02642447400793228,0.019507831230783524,0.019436333845648354,0.01428129986038086,0.5666666666666667,0.6060606060606061,0.5,0.0
openai,3d,1,0.07016762093182301,0.05901673500205171,0.05318964345265602,0.04251631474020627,0.43333333333333335,0.575,0.5,0.0
openai,3d,2,0.06589204586731615,0.04647483009627939,0.055084343558826514,0.04119571725839275,0.5333333333333333,0.65,0.31666666666666665,0.0
openai,3d,3,0.06312181216300414,0.054458655917688524,0.038418880235224204,0.03170796064073982,0.48333333333333334,0.24390243902439024,0.45,0.0
openai,3d,4,0.06132718488921967,0.04849012500244001,0.04003698751348285,0.028450583552458376,0.4166666666666667,0.47761194029850745,0.5666666666666667,0.0
openai,3d,5,0.05301578263679668,0.043406801887648144,0.04039553105408562,0.029387208156245157,0.38333333333333336,0.3018867924528302,0.31666666666666665,0.0
openai,3d,6,0.04003322745468761,0.031939387214497954,0.02763369320007658,0.02065379809414969,0.5,0.375,0.4666666666666667,0.0
openai,3d,7,0.025960694904813283,0.02200311386088952,0.02299674340728317,0.01912472080785367,0.5,0.16666666666666666,0.45,0.0
openai,3d,8,0.05437616149245307,0.04353947971255064,0.04036444511718945,0.03405465938617488,0.4666666666666667,0.42857142857142855,0.5833333333333334,0.0
openai,3d,9,0.03782792740564732,0.031659776561813985,0.03297297296882167,0.026079022510296448,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.0
openai,7d,1,0.08852226869609024,0.07149474289905286,0.07265768240196784,0.05929359063016463,0.45,0.56,0.48333333333333334,0.0
openai,7d,2,0.10337464586520045,0.07438330756150836,0.09324083731893384,0.06752109517239109,0.4,0.5384615384615384,0.2833333333333333,0.0
openai,7d,3,0.08007390051043421,0.06748545167405903,0.049957301202261536,0.040283958089603014,0.3,0.125,0.4166666666666667,0.0
openai,7d,4,0.049875464556270184,0.04382431187432837,0.054082881268763025,0.03966137020837991,0.5833333333333334,0.5283018867924528,0.6166666666666667,0.0
openai,7d,5,0.08008709496765512,0.060805957096364445,0.05802074363680722,0.04573115956637592,0.5,0.5714285714285714,0.25,0.0
openai,7d,6,0.06256670074276038,0.05505454452887251,0.03891648277247503,0.03001503706256682,0.3333333333333333,0.375,0.4,0.0
openai,7d,7,0.045537193958192314,0.03714787677988524,0.033580091675743905,0.02722292160425135,0.4666666666666667,0.0,0.5166666666666667,0.0
openai,7d,8,0.08971371885562696,0.07567217011127923,0.06893257921536863,0.05966587902030831,0.36666666666666664,0.2962962962962963,0.6833333333333333,0.0
openai,7d,9,0.05253493877957928,0.044634984955255017,0.03960844187763132,0.03191876104718154,0.5166666666666667,0.32558139534883723,0.43333333333333335,0.0
claude,1d,1,0.035852378564163796,0.026439458226833187,0.030248710614972075,0.02204591599737176,0.4666666666666667,0.5,0.48333333333333334,0.0
