strategy,horizon,start_date,end_date,n_periods,n_active_periods,coverage_pct,trade_count_proxy,avg_turnover,total_turnover,total_transaction_cost_paid,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,mean_daily_return,std_daily_return,hit_rate_active_periods,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe_ratio,buy_hold_max_drawdown,filter_family,prediction_threshold,uncertainty_quantile
baseline_lstm_long_only,1d,2024-07-24,2026-01-14,540,244,45.18518518518518,166,0.3074074074074074,166.0,0.166,0.07997424480204107,0.05337979140076787,0.3197581416425649,0.1669380211135871,-0.3251717306704097,0.0002816522041433947,0.016736906077870848,0.5409836065573771,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,baseline,0.0,
unc_long_q25_pth0.000,1d,2024-07-24,2026-01-14,540,175,32.407407407407405,116,0.21481481481481482,116.0,0.116,-0.1641647410894238,-0.11415170507533723,0.2668994217785129,-0.4276955877786288,-0.39674873176402925,-0.00023509658769145788,0.013970154228436914,0.52,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.0,0.25
unc_longshort_q25_pth0.000,1d,2024-07-24,2026-01-14,540,413,76.48148148148148,142,0.45740740740740743,247.0,0.24700000000000003,-0.42114639087224826,-0.30894269935170204,0.3934678641044182,-0.785178988009336,-0.6191128254670865,-0.0007991218007551997,0.020595049284272773,0.5060532687651331,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.0,0.25
unc_long_q25_pth0.002,1d,2024-07-24,2026-01-14,540,131,24.25925925925926,94,0.17407407407407408,94.0,0.094,-0.1863015287630302,-0.13007871260864712,0.2362529235356487,-0.5505909119004797,-0.3539719071328482,-0.0003057492967946062,0.012366043196043506,0.5114503816793893,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.002,0.25
unc_longshort_q25_pth0.002,1d,2024-07-24,2026-01-14,540,340,62.96296296296296,157,0.387037037037037,209.0,0.20900000000000002,-0.4934701212456568,-0.36855590358138646,0.36488006352982993,-1.010074104942859,-0.6200679916661671,-0.001075480411238048,0.019098695412774997,0.49411764705882355,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.002,0.25
unc_long_q25_pth0.005,1d,2024-07-24,2026-01-14,540,106,19.62962962962963,82,0.15185185185185185,82.0,0.082,-0.2215305112212761,-0.1557183022634855,0.22847027389681515,-0.6815692020127445,-0.3532805152517905,-0.0003925826897471217,0.01195868069583315,0.5094339622641509,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.005,0.25
unc_longshort_q25_pth0.005,1d,2024-07-24,2026-01-14,540,272,50.37037037037037,164,0.3648148148148148,197.0,0.197,-0.5544820062446456,-0.4210261904558088,0.3417689919552728,-1.2319028360270563,-0.6118315957381286,-0.0013351455743963177,0.01788900663889321,0.47794117647058826,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.005,0.25
unc_long_q50_pth0.000,1d,2024-07-24,2026-01-14,540,175,32.407407407407405,116,0.21481481481481482,116.0,0.116,-0.1641647410894238,-0.11415170507533723,0.2668994217785129,-0.4276955877786288,-0.39674873176402925,-0.00023509658769145788,0.013970154228436914,0.52,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.0,0.5
unc_longshort_q50_pth0.000,1d,2024-07-24,2026-01-14,540,413,76.48148148148148,142,0.45740740740740743,247.0,0.24700000000000003,-0.42114639087224826,-0.30894269935170204,0.3934678641044182,-0.785178988009336,-0.6191128254670865,-0.0007991218007551997,0.020595049284272773,0.5060532687651331,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.0,0.5
unc_long_q50_pth0.002,1d,2024-07-24,2026-01-14,540,131,24.25925925925926,94,0.17407407407407408,94.0,0.094,-0.1863015287630302,-0.13007871260864712,0.2362529235356487,-0.5505909119004797,-0.3539719071328482,-0.0003057492967946062,0.012366043196043506,0.5114503816793893,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.002,0.5
unc_longshort_q50_pth0.002,1d,2024-07-24,2026-01-14,540,340,62.96296296296296,157,0.387037037037037,209.0,0.20900000000000002,-0.4934701212456568,-0.36855590358138646,0.36488006352982993,-1.010074104942859,-0.6200679916661671,-0.001075480411238048,0.019098695412774997,0.49411764705882355,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.002,0.5
unc_long_q50_pth0.005,1d,2024-07-24,2026-01-14,540,106,19.62962962962963,82,0.15185185185185185,82.0,0.082,-0.2215305112212761,-0.1557183022634855,0.22847027389681515,-0.6815692020127445,-0.3532805152517905,-0.0003925826897471217,0.01195868069583315,0.5094339622641509,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.005,0.5
unc_longshort_q50_pth0.005,1d,2024-07-24,2026-01-14,540,272,50.37037037037037,164,0.3648148148148148,197.0,0.197,-0.5544820062446456,-0.4210261904558088,0.3417689919552728,-1.2319028360270563,-0.6118315957381286,-0.0013351455743963177,0.01788900663889321,0.47794117647058826,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.005,0.5
unc_long_q75_pth0.000,1d,2024-07-24,2026-01-14,540,175,32.407407407407405,116,0.21481481481481482,116.0,0.116,-0.1641647410894238,-0.11415170507533723,0.2668994217785129,-0.4276955877786288,-0.39674873176402925,-0.00023509658769145788,0.013970154228436914,0.52,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.0,0.75
unc_longshort_q75_pth0.000,1d,2024-07-24,2026-01-14,540,413,76.48148148148148,142,0.45740740740740743,247.0,0.24700000000000003,-0.42114639087224826,-0.30894269935170204,0.3934678641044182,-0.785178988009336,-0.6191128254670865,-0.0007991218007551997,0.020595049284272773,0.5060532687651331,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.0,0.75
unc_long_q75_pth0.002,1d,2024-07-24,2026-01-14,540,131,24.25925925925926,94,0.17407407407407408,94.0,0.094,-0.1863015287630302,-0.13007871260864712,0.2362529235356487,-0.5505909119004797,-0.3539719071328482,-0.0003057492967946062,0.012366043196043506,0.5114503816793893,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_only,0.002,0.75
unc_longshort_q75_pth0.002,1d,2024-07-24,2026-01-14,540,340,62.96296296296296,157,0.387037037037037,209.0,0.20900000000000002,-0.4934701212456568,-0.36855590358138646,0.36488006352982993,-1.010074104942859,-0.6200679916661671,-0.001075480411238048,0.019098695412774997,0.49411764705882355,0.4616501464631786,0.29247440372902944,0.45145612580137146,0.6478467939932446,-0.3214698048461433,long_short,0.002,0.75
