Horizon,Selected model,Embargo,N,Model RMSE,Naive RMSE,RMSE skill,Model MAE,Naive MAE,MAE skill
3-day,Convolutional / DCN baseline,2,540,0.07273270960691566,0.05922990190269898,-0.22797281897239463,0.05412524850958523,0.043827881916344125,-0.23495013089831862
7-day,LSTM baseline,6,540,0.07600590452942964,0.05936958964492611,-0.28021610026279364,0.05908171620396919,0.04459041915569135,-0.3249867869077483
