Fold,Train_End_Index,Test_Start_Index,Test_End_Index,n,rmse,mae,f1,accuracy,naive_n,naive_rmse,naive_mae,naive_f1,naive_accuracy,Horizon,Feature_Set,Feature_Count
10,1432,1432,1487,55,0.15448987190284583,0.12370533914536333,0.45614035087719296,0.43636363636363634,55,0.07364873296251262,0.05344320660132335,0.0,0.6181818181818182,7,market_plus_llm_news,158
1,892,892,952,60,0.1450796720742538,0.11833256093984584,0.5172413793103449,0.5333333333333333,60,0.07265768240196784,0.05929359063016463,0.0,0.48333333333333334,7,external_only_trends_llm,113
2,952,952,1012,60,0.09202072761092012,0.07560878227522307,0.7857142857142857,0.7,60,0.09324083731893384,0.06752109517239109,0.0,0.2833333333333333,7,external_only_trends_llm,113
3,1012,1012,1072,60,0.2227714025621622,0.18299215134436073,0.5633802816901409,0.48333333333333334,60,0.049957301202261536,0.040283958089603014,0.0,0.4166666666666667,7,external_only_trends_llm,113
4,1072,1072,1132,60,0.09641913526844277,0.07850714846238906,0.4788732394366197,0.38333333333333336,60,0.054082881268763025,0.03966137020837991,0.0,0.6166666666666667,7,external_only_trends_llm,113
5,1132,1132,1192,60,0.06955350291245202,0.05296718511022798,0.6842105263157895,0.6,60,0.05802074363680722,0.04573115956637592,0.0,0.25,7,external_only_trends_llm,113
6,1192,1192,1252,60,0.0711651235840253,0.05635317006035721,0.42424242424242425,0.36666666666666664,60,0.03891648277247503,0.03001503706256682,0.0,0.4,7,external_only_trends_llm,113
7,1252,1252,1312,60,0.06195787356547788,0.05042529147108536,0.4528301886792453,0.5166666666666667,60,0.033580091675743905,0.02722292160425135,0.0,0.5166666666666667,7,external_only_trends_llm,113
8,1312,1312,1372,60,0.09003965712657704,0.07089385976505785,0.5,0.4666666666666667,60,0.06893257921536863,0.05966587902030831,0.0,0.6833333333333333,7,external_only_trends_llm,113
9,1372,1372,1432,60,0.061244944197495106,0.048446286196314775,0.5,0.4666666666666667,60,0.03960844187763132,0.03191876104718154,0.0,0.43333333333333335,7,external_only_trends_llm,113
10,1432,1432,1487,55,0.08463366710508398,0.06133537655666723,0.5384615384615384,0.5636363636363636,55,0.07364873296251262,0.05344320660132335,0.0,0.6181818181818182,7,external_only_trends_llm,113
1,892,892,952,60,0.11547690294637582,0.09402071941667586,0.5357142857142857,0.5666666666666667,60,0.07265768240196784,0.05929359063016463,0.0,0.48333333333333334,7,all_modalities,174
2,952,952,1012,60,0.10796148927224239,0.0834539237466853,0.8131868131868132,0.7166666666666667,60,0.09324083731893384,0.06752109517239109,0.0,0.2833333333333333,7,all_modalities,174
3,1012,1012,1072,60,0.27432605562018153,0.22578393910983563,0.35555555555555557,0.5166666666666667,60,0.049957301202261536,0.040283958089603014,0.0,0.4166666666666667,7,all_modalities,174
4,1072,1072,1132,60,0.16829398417546335,0.1374799794607787,0.6571428571428571,0.6,60,0.054082881268763025,0.03966137020837991,0.0,0.6166666666666667,7,all_modalities,174
5,1132,1132,1192,60,0.1682795343951309,0.14477505216130931,0.6741573033707865,0.5166666666666667,60,0.05802074363680722,0.04573115956637592,0.0,0.25,7,all_modalities,174
6,1192,1192,1252,60,0.09676641022638931,0.07696469651951737,0.47761194029850745,0.4166666666666667,60,0.03891648277247503,0.03001503706256682,0.0,0.4,7,all_modalities,174
7,1252,1252,1312,60,0.12806421736785253,0.10122174865126357,0.4230769230769231,0.5,60,0.033580091675743905,0.02722292160425135,0.0,0.5166666666666667,7,all_modalities,174
8,1312,1312,1372,60,0.13055336133633894,0.09890264921222332,0.1875,0.5666666666666667,60,0.06893257921536863,0.05966587902030831,0.0,0.6833333333333333,7,all_modalities,174
9,1372,1372,1432,60,0.10033767919931409,0.08279624175553542,0.6101694915254238,0.6166666666666667,60,0.03960844187763132,0.03191876104718154,0.0,0.43333333333333335,7,all_modalities,174
10,1432,1432,1487,55,0.11731216591741216,0.09501921371261225,0.4,0.45454545454545453,55,0.07364873296251262,0.05344320660132335,0.0,0.6181818181818182,7,all_modalities,174
